Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,,Percent,41.5
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,,Percent,64.4
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,Urban,,Percent,89.7
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,Rural,,Percent,54.9
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,Under 20 years old,,,Percent,56.4
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,20 to 34 years old,,,Percent,67.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,35 to 49 years old,,,Percent,57.3
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,Quintile 1 (poorest),Percent,32.6
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,Quintile 2,Percent,50.9
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,Quintile 3,Percent,72.2
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,Quintile 4,Percent,87.4
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,Quintile 5 (richest),Percent,96.8
2016,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,,Percent,57.6
2018,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,,Percent,68.0
2019,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Proportion of births attended by skilled health personnel [3.1.2],Lao People's Democratic Republic,,,,Percent,69.0
