Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2012,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,,,Percent,5.1
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,,,Percent,9.0
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,Urban,,Percent,7.0
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,Rural,,Percent,9.8
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,Male,,,Percent,9.4
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,Female,,,Percent,8.6
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,,Quintile 1 (poorest),Percent,11.9
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,,Quintile 2,Percent,9.4
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,,Quintile 3,Percent,9.6
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,,Quintile 4,Percent,6.5
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely wasted [2.2.2],Lao People's Democratic Republic,,,Quintile 5 (richest),Percent,6.0
2012,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,,,Percent,2.5
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,,,Percent,3.5
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,Urban,,Percent,4.8
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,Rural,,Percent,3.1
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,Male,,,Percent,3.9
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,Female,,,Percent,3.1
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,,Quintile 1 (poorest),Percent,4.0
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,,Quintile 2,Percent,2.5
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,,Quintile 3,Percent,20.0
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,,Quintile 4,Percent,3.1
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children moderately or severely overweight [2.2.2],Lao People's Democratic Republic,,,Quintile 5 (richest),Percent,6.4
