Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,,"Per 100,000 population",79.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,,"Per 100,000 population",46.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,Urban,,"Per 100,000 population",24.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,Rural,,"Per 100,000 population",53.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,Quintile 1 (poorest),"Per 100,000 population",63.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,Quintile 2,"Per 100,000 population",62.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,Quintile 3,"Per 100,000 population",35.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,Quintile 4,"Per 100,000 population",27.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,Quintile 5 (richest),"Per 100,000 population",23.0
2018,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,,"Per 100,000 population",17.8
2019,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Infant mortality rate [3.2.1],Lao People's Democratic Republic,,,"Per 100,000 population",18.0
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,,"Per 1,000 live births",68.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,,"Per 1,000 live births",40.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,Urban,,"Per 1,000 live births",20.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,Rural,,"Per 1,000 live births",47.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,Quintile 1 (poorest),"Per 1,000 live births",56.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,Quintile 2,"Per 1,000 live births",57.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,Quintile 3,"Per 1,000 live births",31.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,Quintile 4,"Per 1,000 live births",21.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,Quintile 5 (richest),"Per 1,000 live births",14.0
2016,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,,"Per 1,000 live births",13.1
2018,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,,"Per 1,000 live births",15.8
2019,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,"Infant mortality rate per 1,000 live births",Lao People's Democratic Republic,,,"Per 1,000 live births",14.4
