Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,,,Percent,7.1
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,Urban,,Percent,3.3
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,Rural,,Percent,9.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,,Quintile 1 (poorest),Percent,15.9
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,,Quintile 2,Percent,9.7
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,,Quintile 3,Percent,6.6
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,,Quintile 4,Percent,3.4
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lao People's Democratic Republic,,Quintile 5 (richest),Percent,1.4
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,,,Percent,32.7
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,Urban,,Percent,20.9
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,Rural,,Percent,38.5
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,,Quintile 1 (poorest),Percent,55.6
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,,Quintile 2,Percent,40.4
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,,Quintile 3,Percent,33.2
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,,Quintile 4,Percent,25.8
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lao People's Democratic Republic,,Quintile 5 (richest),Percent,12.9
