Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2013,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,,,PT,41.5
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,,,PT,64.4
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,U,,PT,89.7
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,R,,PT,54.9
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,Y0T19,,,PT,56.4
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,Y20T34,,,PT,67.0
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,Y35T49,,,PT,57.3
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,,Q1,PT,32.6
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,,Q2,PT,50.9
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,,Q3,PT,72.2
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,,Q4,PT,87.4
2017,A,0,_X,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",A,N,SH_STA_BRTC,LA,,,Q5,PT,96.8
2016,A,0,_X,"Ministry of Health, https://moh.gov.la/",A,N,SH_STA_BRTC,LA,,,,PT,57.6
2018,A,0,_X,"Ministry of Health, https://moh.gov.la/",A,N,SH_STA_BRTC,LA,,,,PT,68.0
2019,A,0,_X,"Ministry of Health, https://moh.gov.la/",A,N,SH_STA_BRTC,LA,,,,PT,69.0
