Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,,,,PT,2.1
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,M,,,PT,2.1
2015,A,0,_X,"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,F,,,PT,2.1
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,,,,PT,9.4
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,M,,,PT,10.7
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,F,,,PT,7.8
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,,Y_GE15,U,PT,5.3
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,,Y_GE15,R,PT,12.4
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,,Y15T24,,PT,18.2
2017,A,0,_X,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",A,N,SL_TLF_UEM,LA,,Y_GE25,,PT,7.4
