Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_00,LA,,NUMBER,42
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,,NUMBER,33
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,M,NUMBER,15
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,B,NUMBER,16
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,F,NUMBER,1
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,G,NUMBER,1
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,,NUMBER,9
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,M,NUMBER,6
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,B,NUMBER,2
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,F,NUMBER,1
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,G,NUMBER,0
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_00,LA,,NUMBER,60
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,,NUMBER,50
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,M,NUMBER,18
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,B,NUMBER,24
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,F,NUMBER,3
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,G,NUMBER,5
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,,NUMBER,10
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,M,NUMBER,2
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,B,NUMBER,8
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,F,NUMBER,0
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_02,LA,G,NUMBER,0
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_00,LA,,NUMBER,41
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,,NUMBER,37
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,M,NUMBER,12
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180101_01,LA,B,NUMBER,8
