Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,,"Per 100,000 population",32.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,,"Per 100,000 population",18.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,Urban,,"Per 100,000 population",14.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,Rural,,"Per 100,000 population",19.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,Quintile 1 (poorest),"Per 100,000 population",20.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,Quintile 2,"Per 100,000 population",21.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,Quintile 3,"Per 100,000 population",14.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,Quintile 4,"Per 100,000 population",16.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,Quintile 5 (richest),"Per 100,000 population",14.0
2016,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,,"Per 100,000 population",6.8
2018,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,,"Per 100,000 population",7.4
2019,Normal value,Units,Not Available,"Ministry of Health, https://moh.gov.la/",Annual,National,Neonatal mortality rate [3.2.2],Lao People's Democratic Republic,,,"Per 100,000 population",6.9
