Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,,,PT,7.1
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,U,,PT,3.3
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,R,,PT,9.0
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,,Q1,PT,15.9
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,,Q2,PT,9.7
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,,Q3,PT,6.6
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,,Q4,PT,3.4
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF15,LA,,Q5,PT,1.4
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,,,PT,32.7
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,U,,PT,20.9
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,R,,PT,38.5
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,,Q1,PT,55.6
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,,Q2,PT,40.4
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,,Q3,PT,33.2
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,,Q4,PT,25.8
2017,A,0,_X,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",A,N,SP_DYN_MRBF18,LA,,Q5,PT,12.9
