Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,,,Percent,15.0
2010,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,Male,,,,Percent,17.0
2010,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,Female,,,,Percent,13.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,,,Percent,42.8
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,Male,,,,Percent,43.2
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,Female,,,,Percent,42.4
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,5 to 17 years old,,,Percent,42.5
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,Male,5 to 17 years old,,,Percent,42.9
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,Female,5 to 17 years old,,,Percent,42.1
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,5-11 years old,,,Percent,38.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,12 to 14 years old,,,Percent,48.6
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,,Quintile 1 (poorest),Percent,48.6
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,,Quintile 2,Percent,47.1
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,,Quintile 3,Percent,44.5
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,,Quintile 4,Percent,38.0
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,,Quintile 5 (richest),Percent,28.5
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,Urban,,Percent,33.1
2017,Normal value,Units,Not Available,"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",Annual,National,Proportion of children engaged in economic activity and household chores [8.7.1],Lao People's Democratic Republic,,,Rural,,Percent,45.7
