Value,en,Disaggregation combinations using this value,Number of indicators
A,A,22,11
Admin - OECD,Admin - OECD,1,1
Admin - WHO,Admin - WHO,5,5
FAO estimate,FAO estimate,1,1
ILO,ILO,1,1
"Lao Statistics Bureau, https://www.lsb.gov.la/","Lao Statistics Bureau, https://www.lsb.gov.la/",1,1
"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/","Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",19,3
"Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/","Lao Statistics Bureau, survey-(LFS), https://www.lsb.gov.la/",22,7
"Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/","Lao Statistics Bureau, survey-(LSIS), https://www.lsb.gov.la/",51,5
"Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/","Lao Statistics Bureau, Survey-(LSIS), https://www.lsb.gov.la/",87,9
"Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/","Lao Statistics Bureau, survey-(PHC), https://www.lsb.gov.la/",12,4
"Lao Statistics Bureau, Survey-(PHC), https://www.lsb.gov.la/","Lao Statistics Bureau, Survey-(PHC), https://www.lsb.gov.la/",10,2
"Lao Women Union, http://laowomenunion.org.la","Lao Women Union, http://laowomenunion.org.la",3,2
"Ministry of Agriculture and Forestry, http://www.maf.gov.la","Ministry of Agriculture and Forestry, http://www.maf.gov.la",6,2
Ministry of Agriculture and Forestry ;  http://www.maf.gov.la,Ministry of Agriculture and Forestry ;  http://www.maf.gov.la,5,1
"Ministry of Education and Sports, http://www.moes.edu.la/","Ministry of Education and Sports, http://www.moes.edu.la/",31,8
"Ministry of Health, https://moh.gov.la/","Ministry of Health, https://moh.gov.la/",16,9
"Ministry of Home Affaires, http://www.moha.gov.la/","Ministry of Home Affaires, http://www.moha.gov.la/",6,1
"Ministry of Industry and Commerce, http://www.erm.gov.la/index.php","Ministry of Industry and Commerce, http://www.erm.gov.la/index.php",5,5
"Ministry of Information, Culture and Tourism, www.tourismlaos.org","Ministry of Information, Culture and Tourism, www.tourismlaos.org",2,2
"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/","Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",37,9
"Ministry of Natural Resouce and Environment, http://www.monre.gov.la/home/","Ministry of Natural Resouce and Environment, http://www.monre.gov.la/home/",1,1
"Ministry of Publice and Security, http://laosecurity.gov.la","Ministry of Publice and Security, http://laosecurity.gov.la",1,1
"Ministry of Technology and Communication, https://www.mpt.gov.la/","Ministry of Technology and Communication, https://www.mpt.gov.la/",2,1
"National Assembly of Lao PDR, http://www.na.gov.la/index.php?lang=en","National Assembly of Lao PDR, http://www.na.gov.la/index.php?lang=en",2,1
OECD,OECD,1,1
