Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties-Total,Lao People's Democratic Republic,,Number,42
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,,Number,33
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Male,Number,15
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Boy,Number,16
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Female,Number,1
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Girl,Number,1
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,,Number,9
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Male,Number,6
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Boy,Number,2
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Female,Number,1
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Girl,Number,0
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties-Total,Lao People's Democratic Republic,,Number,60
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,,Number,50
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Male,Number,18
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Boy,Number,24
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Female,Number,3
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Girl,Number,5
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,,Number,10
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Male,Number,2
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Boy,Number,8
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Female,Number,0
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Girl,Number,0
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties-Total,Lao People's Democratic Republic,,Number,41
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,,Number,37
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Male,Number,12
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Boy,Number,8
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Female,Number,11
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Girl,Number,6
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,,Number,4
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Male,Number,3
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Boy,Number,0
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Female,Number,0
2017,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Girl,Number,1
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties-Total,Lao People's Democratic Republic,,Number,24
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,,Number,21
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Male,Number,4
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Boy,Number,8
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Female,Number,4
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Girl,Number,5
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,,Number,3
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Male,Number,2
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Boy,Number,1
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Female,Number,0
2018,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Girl,Number,0
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties-Total,Lao People's Democratic Republic,,Number,25
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,,Number,16
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Male,Number,5
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Boy,Number,4
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Female,Number,2
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex)- Injured [18.1.1 ],Lao People's Democratic Republic,Girl,Number,5
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,,Number,9
2019,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Number of reported UXO casualties (disaggregated by age group and sex) - Killed [18.1.1 ],Lao People's Democratic Republic,Male,Number,8
